basho,id,rank,rikishi,heya,shusshin,birth_date,height,weight,prev,prev_w,prev_l
2019.01,12457,Jd43w,Chiyohokkai,Kokonoe,Hokkaido,1995-10-19,170,120,Jd70w,4,3
2019.01,12146,Jd44e,Sakai,Otake,Fukuoka,1995-10-28,175,104,Jd23w,3,4
2019.01,9126,Jd44w,Hirose,Arashio,Tokushima,1988-10-18,178,164,Jd24w,3,4
2019.01,9074,Jd45e,Hokutoo,Hakkaku,Fukushima,1992-11-11,196,135,Sd93w,0,2
2019.01,12404,Jd45w,Wakaseido,Asahiyama,Chiba,1998-04-14,168,76,Jd71w,4,3
2019.01,12381,Jd46e,Fujikawa,Oguruma,Saga,2001-08-08,172,126,Jk19e,6,1
2019.01,12509,Jd46w,Mukaida,Naruto,Hyogo,1998-11-02,183,123,Jd89e,5,2
2019.01,9068,Jd47e,Hokutohana,Hakkaku,Hiroshima,1989-07-07,179,163,Jd15w,2,5
2019.01,12388,Jd47w,Chiyotaiho,Kokonoe,Yamaguchi,2001-08-01,171,131,Jd16e,2,5
2019.01,11993,Jd48e,Tsugaruumi,Tamanoi,Chiba,1996-04-06,174,84.2,Sd86w,0,0
2019.01,12473,Jd48w,Ueta,Fujishima,Tokushima,1999-12-21,167,101,Jd73w,4,3
2019.01,12160,Jd49e,Takakurayama,Onoe,Yamagata,1998-08-11,179,112,Jd26w,3,4
2019.01,11928,Jd49w,Mori,Tamanoi,Fukushima,1992-07-02,173,117,Jd91w,5,2
2019.01,6585,Jd50e,Rendaiyama,Kise,Hyogo,1988-01-12,179.5,144.2,Sd88w,0,0
2019.01,12157,Jd50w,Kokuryunami,Tatsunami,Fukuoka,1995-04-20,179,100,Jk26e,6,1
2019.01,12165,Jd51e,Yuma,Onomatsu,Osaka,1998-06-13,174,86,Jk26w,6,1
2019.01,1128,Jd51w,Burinosato,Chiganoura,Ishikawa,1983-02-15,183.5,152.5,Jd92w,5,2
2019.01,12303,Jd52e,Tokio,Isenoumi,Iwate,2000-08-16,173,96,Jd75e,4,3
2019.01,12259,Jd52w,Fukuazuma,Tamanoi,Fukushima,1999-11-24,172,107,Jd28e,3,4
2019.01,11777,Jd53e,Arikawa,Nishonoseki,Kagoshima,1988-10-09,170,124.2,Jd78w,4,3
2019.01,12394,Jd53w,Miryuzan,Otake,Chiba,2001-11-21,177,113,Jd29w,3,4
2019.01,12161,Jd54e,Fujinoteru,Onoe,Tokyo,1998-08-24,166,72,Jd100w,5,2
2019.01,12326,Jd54w,Chida,Onomatsu,Iwate,1997-10-20,185,126,Jd81e,4,3
2019.01,11913,Jd55e,Okunisato,Nakagawa,Tokyo,1992-09-18,184,119,Jd30w,3,4
2019.01,12120,Jd55w,Nakao,Onoe,Osaka,1995-06-19,172,110,Jd21w,2,5
2019.01,12467,Jd56e,Onagaya,Shikoroyama,Aichi,2002-12-16,181,135,Jd84w,4,3
2019.01,11995,Jd56w,Hokutoyu,Hakkaku,Hokkaido,1993-09-21,181,124,Jd85e,4,3
2019.01,243,Jd57e,Isenohana,Isegahama,Aomori,1975-01-03,180,131.8,Jd22e,2,5
2019.01,12401,Jd57w,Wakasatake,Nishiiwa,Osaka,1998-06-04,167,84,Jd23e,2,5
2019.01,12424,Jd58e,Sadatsuyoshi,Sakaigawa,Tokyo,1998-09-17,184,158,Jd86e,4,3
2019.01,11962,Jd58w,Daishohama,Oitekaze,Hyogo,1995-05-07,167,106.5,Jd86w,4,3
2019.01,12345,Jd59e,Satsumao,Shikihide,Kagoshima,2000-07-26,183,111,Jd105e,5,2
2019.01,12298,Jd59w,Ito,Hakkaku,Hokkaido,1997-07-16,177,110,Jd105w,5,2
2019.01,12017,Jd60e,Hokutonami,Hakkaku,Hokkaido,1993-08-16,172,118.2,Jd14e,1,6
2019.01,12306,Jd60w,Omote,Shikihide,Oita,1998-03-01,168,67,Jd34w,3,4
2019.01,12445,Jd61e,Shachinofuji,Isegahama,Aichi,1999-04-26,176,109,Jd90w,4,3
2019.01,12511,Jd61w,Roman,Tatsunami,Okinawa,2001-04-24,172,121,Jd35w,3,4
2019.01,6765,Jd62e,Daishoko,Oitekaze,Aichi,1988-10-27,175.5,131.6,Jk2w,5,2
2019.01,11860,Jd62w,Kototaiko,Sadogatake,Yamagata,1994-12-20,176,133,Jd94e,4,3
2019.01,11832,Jd63e,Tochigidake,Kasugano,Gifu,1991-11-20,174.5,112,Jd36w,3,4
2019.01,11932,Jd63w,Hamatensei,Shikoroyama,Kanagawa,1996-03-08,179,102.9,Jk3e,5,2
2019.01,12020,Jd64e,Kotouruga,Sadogatake,Nagano,1993-08-06,184,88,Jd37e,3,4
2019.01,12219,Jd64w,Asadoji,Takasago,Hyogo,2000-03-31,170,80,Jk4w,5,2
2019.01,12363,Jd65e,Harada,Shikoroyama,Yamaguchi,1999-01-21,183,86,Jd96w,4,3
2019.01,6958,Jd65w,Kotonoshima,Sadogatake,Kagawa,1989-12-02,183,129,Jd40e,3,4
2019.01,12348,Jd66e,Tatsuki,Otake,Aichi,2001-01-30,181,94,Jd97e,4,3
2019.01,12507,Jd66w,Kawamura,Naruto,Mie,2001-09-03,175,85,Jk5w,5,2
2019.01,12187,Jd67e,Shoryudo,Shikihide,Aichi,1995-04-29,174,112,Jd98e,4,3
2019.01,12315,Jd67w,Hokutoryu,Tamanoi,Hokkaido,2000-09-19,171,82,Jd29e,2,1
2019.01,6502,Jd68e,Teraosho,Shikoroyama,Miyagi,1989-04-25,181,163.7,Jd41w,3,4
2019.01,12222,Jd68w,Tamanoryu,Kataonami,Fukuoka,1999-05-07,175,86,Jd32w,2,5
2019.01,12490,Jd69e,Kochikara,Tagonoura,Tochigi,2002-06-15,184,166,Jk8w,5,2
2019.01,12145,Jd69w,Sorakaze,Oguruma,Aichi,1998-12-28,172,84,Jd34e,2,5
2019.01,12287,Jd70e,Shunpo,Minezaki,Kanagawa,2000-08-17,170,97,Jd101w,4,3
2019.01,12482,Jd70w,Kotomaeda,Sadogatake,Wakayama,2002-11-15,167,104,Jd103e,4,3
2019.01,12057,Jd71e,Terumichi,Isegahama,Aichi,1997-04-09,183,89,Jd44e,3,4
2019.01,12378,Jd71w,Amane,Shikoroyama,Kanagawa,1998-11-21,180,140,Jd103w,4,3
2019.01,9109,Jd72e,Motokiyama,Tamanoi,Nagano,1991-12-15,172,108.2,Jd104w,4,3
2019.01,12121,Jd72w,Nakai,Onoe,Mie,1996-03-08,174,129,Jd37w,2,5
2019.01,12411,Jd73e,Kaitoma,Asakayama,Kanagawa,2001-05-11,179,135,Jd47w,3,4
2019.01,12341,Jd73w,Imai,Shikihide,Kanagawa,1993-06-21,172,97,Jd48w,3,4
2019.01,12452,Jd74e,Asaazuma,Takasago,Kochi,1999-05-18,182,119,Jk1w,4,3
2019.01,12403,Jd74w,Tagomaru,Tagonoura,Aichi,2001-07-16,181,148,Jk27e,5,2
2019.01,12438,Jd75e,Asahio,Asahiyama,Ibaraki,2000-07-17,175,110,Jk5e,4,3
2019.01,399,Jd75w,Terunosato,Tagonoura,Ehime,1978-01-27,177,172,Jd32e,1,6
2019.01,1161,Jd76e,Kirimaru,Michinoku,Aichi,1985-04-05,173,146,Jk6e,4,3
2019.01,12407,Jd76w,Toshonishiki,Nishikido,Tochigi,1998-07-21,173,68,Jd54e,3,4
2019.01,383,Jd77e,Satonofuji,Isegahama,Gunma,1977-04-15,171,111.4,Jd54w,3,4
2019.01,12459,Jd77w,Azumaiwa,Tamanoi,Miyazaki,1999-08-24,185,141,Jk9e,4,3
2019.01,12297,Jd78e,Jingu,Hakkaku,Hiroshima,1998-02-27,173,121,Jd43w,2,5
2019.01,12392,Jd78w,Yukiumi,Yamahibiki,Hyogo,2002-02-12,167,98,Jd57e,3,4
2019.01,12434,Jd79e,Wakanoguchi,Nishiiwa,Saitama,2000-12-07,181,116,Jd47e,2,5
2019.01,12444,Jd79w,Osumifuji,Isegahama,Kagoshima,1999-12-18,170,109,Jd57w,3,4
2019.01,12269,Jd80e,Asahinishiki,Asahiyama,Chiba,1998-02-27,169,106,Jk12w,4,3
2019.01,12356,Jd80w,Tatsunofuji,Isegahama,Osaka,2000-09-01,175,109,Jd48e,2,5
2019.01,12307,Jd81e,Aonoumi,Azumazeki,Aomori,2000-06-22,173,99,Jk13e,4,3
2019.01,12069,Jd81w,Shiraseyama,Kise,Hyogo,1998-01-29,173,128.3,Jk13w,4,3
2019.01,12257,Jd82e,Watatani,Arashio,Ishikawa,1999-07-07,171,90,Jd58e,3,4
2019.01,12410,Jd82w,Wakaseiun,Chiganoura,Aichi,2001-04-18,181,111,Jk14e,4,3
2019.01,12167,Jd83e,Bushi,Musashigawa,Saitama,1995-02-09,174,79,Jd49e,2,5
2019.01,12224,Jd83w,Kyonosato,Isenoumi,Kyoto,1996-09-26,183,147,Jk15e,4,3
2019.01,12502,Jd84e,Takamasaki,Chiganoura,Osaka,1999-11-06,172,113,Jk16e,4,3
2019.01,2846,Jd84w,Daiisshin,Isegahama,Fukuoka,1987-03-14,178,116.3,Jk18e,4,3
2019.01,12499,Jd85e,Ai,Takadagawa,Tokushima,1999-01-30,177,100,Jk24e,4,3
2019.01,12517,Jd85w,Sawada,Michinoku,Kumamoto,2002-04-11,170,69,Jk28e,4,3
2019.01,271,Jd86e,Hanakaze,Tatsunami,Tokyo,1970-05-28,182,109.2,Jd52e,2,5
2019.01,1156,Jd86w,Mogaminishiki,Kise,Yamagata,1982-10-28,180.5,145.4,Jd42w,1,6
2019.01,12070,Jd87e,Yukiamami,Tatsunami,Kagoshima,1998-01-09,182,105,Jd26e,0,7
2019.01,12286,Jd87w,Daisho,Oitekaze,Ishikawa,2000-06-04,170,108,Jd64w,3,4
2019.01,12495,Jd88e,Sasaki,Hakkaku,Hokkaido,1999-10-24,187,125,Jd65e,3,4
2019.01,12400,Jd88w,Kaishin,Tagonoura,Aomori,2001-09-25,182,117,Jd45w,1,6
2019.01,12405,Jd89e,Honma,Naruto,Tokyo,2001-05-01,170,80,Jd65w,3,4
